-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 100.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  200 nodes
   Temperature:                                         500.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        100.0000 g/mol
   Mass density:                                          1.0000 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                              100           steps
   Output computes every:                                   1000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                     40000 iterations
   Andersen_after_iter:                                     2000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                      Recrangle rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+00 monomers
   Chain length:                                    50.000000000 monomers
   Chain characteristic ratio C_infinity:                10.0000
   Bond length:                                           1.0000 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+00 monomers
   Chain length:                                    50.000000000 monomers
   Chain characteristic ratio C_infinity:                10.0000
   Bond length:                                           1.0000 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                             50.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=1
   mxa boundary condition for hi edge:                 Dirichlet q=0
   mxb boundary condition for lo edge:                 Dirichlet q=0
   mxb boundary condition for hi edge:                 Dirichlet q=1
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                                  1.0000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   *Side of the solid wall not detected..       
                  ..it will be set to both sides
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                               9.1287 Angstrom
   mxa nodes along chain contour:                            100 nodes
   mxb radious of gyration:                               9.1287 Angstrom
   mxb nodes along chain contour:                            100 nodes
   molar density in bulk                              10000.0000 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
                0    0.1752641E+01    0.5000000E+00    0.0000000E+00    0.0000000E+00    0.1083507E-01    0.1083507E-01    0.0000000E+00    0.0000000E+00    0.1000000E-01
              100    0.1438524E+02    0.1127828E+01    0.0000000E+00    0.0000000E+00    0.1550143E-02    0.1550143E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              200    0.1253945E+02    0.6838519E+00    0.0000000E+00    0.0000000E+00    0.2910672E-02    0.2910672E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              300    0.1205383E+02    0.1043599E+01    0.0000000E+00    0.0000000E+00    0.3440249E-02    0.3440249E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              400    0.4745529E+01    0.1308448E+01    0.0000000E+00    0.0000000E+00    0.8687429E-02    0.8687429E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              500    0.9645603E+01    0.4684276E+00    0.0000000E+00    0.0000000E+00    0.5111605E-02    0.5111605E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              600    0.9785196E+01    0.3012321E+00    0.0000000E+00    0.0000000E+00    0.4976339E-02    0.4976339E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              700    0.7935112E+01    0.1109335E+00    0.0000000E+00    0.0000000E+00    0.6354915E-02    0.6354915E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              800    0.7891437E+01    0.1666219E+00    0.0000000E+00    0.0000000E+00    0.6414959E-02    0.6414959E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
              900    0.8515520E+01    0.8409373E-01    0.0000000E+00    0.0000000E+00    0.5926824E-02    0.5926824E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1000    0.8528108E+01    0.5037769E-01    0.0000000E+00    0.0000000E+00    0.5925217E-02    0.5925217E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1100    0.8290691E+01    0.1843133E-01    0.0000000E+00    0.0000000E+00    0.6102293E-02    0.6102293E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1200    0.8295743E+01    0.2172887E-01    0.0000000E+00    0.0000000E+00    0.6096496E-02    0.6096496E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1300    0.8371332E+01    0.8992089E-02    0.0000000E+00    0.0000000E+00    0.6041457E-02    0.6041457E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1400    0.8386689E+01    0.7161844E-02    0.0000000E+00    0.0000000E+00    0.6029658E-02    0.6029658E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1500    0.8348192E+01    0.5976006E-02    0.0000000E+00    0.0000000E+00    0.6058265E-02    0.6058265E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1600    0.8342532E+01    0.5338325E-02    0.0000000E+00    0.0000000E+00    0.6062438E-02    0.6062439E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1700    0.8359385E+01    0.4818566E-02    0.0000000E+00    0.0000000E+00    0.6049923E-02    0.6049925E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1800    0.8361299E+01    0.4337707E-02    0.0000000E+00    0.0000000E+00    0.6048426E-02    0.6048434E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1900    0.8354456E+01    0.3928557E-02    0.0000000E+00    0.0000000E+00    0.6053542E-02    0.6053581E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2000    0.8353700E+01    0.3565673E-02    0.0000000E+00    0.0000000E+00    0.6053992E-02    0.6054170E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2100    0.8355943E+01    0.1769104E-02    0.0000000E+00    0.0000000E+00    0.6052137E-02    0.6052604E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2200    0.8356315E+01    0.1543496E-02    0.0000000E+00    0.0000000E+00    0.6051673E-02    0.6052485E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2300    0.8355817E+01    0.1315636E-02    0.0000000E+00    0.0000000E+00    0.6052788E-02    0.6052098E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2400    0.8356428E+01    0.1205639E-02    0.0000000E+00    0.0000000E+00    0.6051803E-02    0.6052156E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2500    0.8355926E+01    0.8862328E-03    0.0000000E+00    0.0000000E+00    0.6052453E-02    0.6052257E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2600    0.8356169E+01    0.5847916E-03    0.0000000E+00    0.0000000E+00    0.6052156E-02    0.6052169E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2700    0.8355981E+01    0.4999989E-03    0.0000000E+00    0.0000000E+00    0.6052503E-02    0.6052082E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2800    0.8355823E+01    0.4434762E-03    0.0000000E+00    0.0000000E+00    0.6052312E-02    0.6052520E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2900    0.8355996E+01    0.2063907E-03    0.0000000E+00    0.0000000E+00    0.6052362E-02    0.6052203E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3000    0.8356216E+01    0.1844088E-03    0.0000000E+00    0.0000000E+00    0.6052138E-02    0.6052101E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3100    0.8356541E+01    0.5169412E-03    0.0000000E+00    0.0000000E+00    0.6052316E-02    0.6051428E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3200    0.8356015E+01    0.1386941E-03    0.0000000E+00    0.0000000E+00    0.6052232E-02    0.6052300E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3300    0.8356199E+01    0.2289993E-03    0.0000000E+00    0.0000000E+00    0.6052090E-02    0.6052182E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3400    0.8356335E+01    0.2189774E-03    0.0000000E+00    0.0000000E+00    0.6051663E-02    0.6052377E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3500    0.8355958E+01    0.2570629E-03    0.0000000E+00    0.0000000E+00    0.6051906E-02    0.6052717E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3600    0.8356602E+01    0.8128386E-03    0.0000000E+00    0.0000000E+00    0.6051330E-02    0.6052303E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3700    0.8356217E+01    0.8339828E-04    0.0000000E+00    0.0000000E+00    0.6052006E-02    0.6052214E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3800    0.8356094E+01    0.7615481E-04    0.0000000E+00    0.0000000E+00    0.6052179E-02    0.6052234E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3900    0.8356018E+01    0.6699008E-04    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052273E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4000    0.8356017E+01    0.5486642E-04    0.0000000E+00    0.0000000E+00    0.6052264E-02    0.6052260E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4100    0.8355744E+01    0.1426641E-03    0.0000000E+00    0.0000000E+00    0.6052249E-02    0.6052680E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4200    0.8356143E+01    0.8622533E-04    0.0000000E+00    0.0000000E+00    0.6052134E-02    0.6052206E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4300    0.8356002E+01    0.3761810E-04    0.0000000E+00    0.0000000E+00    0.6052287E-02    0.6052260E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4400    0.8356005E+01    0.3391033E-04    0.0000000E+00    0.0000000E+00    0.6052294E-02    0.6052249E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4500    0.8356035E+01    0.2935954E-04    0.0000000E+00    0.0000000E+00    0.6052242E-02    0.6052256E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4600    0.8356017E+01    0.2534718E-04    0.0000000E+00    0.0000000E+00    0.6052265E-02    0.6052259E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4700    0.8356027E+01    0.2320868E-04    0.0000000E+00    0.0000000E+00    0.6052254E-02    0.6052256E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4800    0.8356028E+01    0.1794292E-04    0.0000000E+00    0.0000000E+00    0.6052253E-02    0.6052254E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4900    0.8356030E+01    0.1402949E-04    0.0000000E+00    0.0000000E+00    0.6052250E-02    0.6052254E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5000    0.8356033E+01    0.1255096E-04    0.0000000E+00    0.0000000E+00    0.6052249E-02    0.6052251E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5100    0.8356031E+01    0.1078378E-04    0.0000000E+00    0.0000000E+00    0.6052250E-02    0.6052254E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
