               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,	               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,	               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,	               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,	               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,
              0,   0.0000000000,  -0.0546720000,  -0.0284779000,  -0.0546720000,   0.0000000000,	              0,  -0.7500000000,  -0.4712821000,  -0.0213584100,   0.3892741000,   0.7500000000,	              0,   0.7500000000,   0.3892741000,  -0.0213584100,  -0.4712821000,  -0.7500000000,	              0,  -1.5000000000,  -0.9425641000,  -0.0427168100,   0.7785482000,   1.5000000000,	              0,   1.5000000000,   0.7785482000,  -0.0427168100,  -0.9425641000,  -1.5000000000,
              1,   0.0000000000,   0.4672700000,   0.3389360000,   0.4672700000,   0.0000000000,	              1,  -1.1250000000,  -0.7347908000,   0.2328435000,   1.3536870000,   1.1250000000,	              1,   1.1250000000,   1.3536870000,   0.2328435000,  -0.7347908000,  -1.1250000000,	              1,  -1.5000000000,  -0.9982995000,   0.4870454000,   2.3181000000,   1.5000000000,	              1,   1.5000000000,   2.3181000000,   0.4870454000,  -0.9982995000,  -1.5000000000,
              2,   0.0000000000,   0.6624970000,   0.1034710000,   0.6624970000,   0.0000000000,	              2,  -1.3125000000,  -0.8270865000,   0.3104464000,   2.4397280000,   1.3125000000,	              2,   1.3125000000,   2.4397280000,   0.3104464000,  -0.8270865000,  -1.3125000000,	              2,  -1.5000000000,  -0.9193821000,   0.3880494000,   3.5257690000,   1.5000000000,	              2,   1.5000000000,   3.5257690000,   0.3880494000,  -0.9193821000,  -1.5000000000,
              3,   0.0000000000,   0.7566520000,   0.0294300000,   0.7566520000,   0.0000000000,	              3,  -1.4062500000,  -0.6778162000,   0.3325187000,   3.4254360000,   1.4062500000,	              3,   1.4062500000,   3.4254360000,   0.3325187000,  -0.6778162000,  -1.4062500000,	              3,  -1.5000000000,  -0.5285458000,   0.3545910000,   4.4111440000,   1.5000000000,	              3,   1.5000000000,   4.4111440000,   0.3545910000,  -0.5285458000,  -1.5000000000,
              4,   0.0000000000,   0.3484960000,  -0.2102934000,   0.3484960000,   0.0000000000,	              4,  -1.4531250000,  -0.3536841000,   0.1747987000,   3.6240480000,   1.4531250000,	              4,   1.4531250000,   3.6240480000,   0.1747987000,  -0.3536841000,  -1.4531250000,	              4,  -1.5000000000,  -0.0295521300,   0.0170786400,   3.8226600000,   1.5000000000,	              4,   1.5000000000,   3.8226600000,   0.0170786400,  -0.0295521300,  -1.5000000000,
              5,   0.0000000000,  -0.0751643000,  -0.3467035000,  -0.0751643000,   0.0000000000,	              5,  -1.4765620000,  -0.0707686500,  -0.0852289600,   3.2283860000,   1.4765620000,	              5,   1.4765620000,   3.2283860000,  -0.0852289600,  -0.0707686500,  -1.4765620000,	              5,  -1.5000000000,   0.2121468000,  -0.3452566000,   2.8327240000,   1.5000000000,	              5,   1.5000000000,   2.8327240000,  -0.3452566000,   0.2121468000,  -1.5000000000,
              6,   0.0000000000,  -0.2506581000,  -0.3028096000,  -0.2506581000,   0.0000000000,	              6,  -1.4882810000,   0.0487762100,  -0.3123362000,   2.7328540000,   1.4882810000,	              6,   1.4882810000,   2.7328540000,  -0.3123362000,   0.0487762100,  -1.4882810000,	              6,  -1.5000000000,   0.1683211000,  -0.5394434000,   2.2373220000,   1.5000000000,	              6,   1.5000000000,   2.2373220000,  -0.5394434000,   0.1683211000,  -1.5000000000,
              7,   0.0000000000,  -0.2511518000,  -0.1174460000,  -0.2511518000,   0.0000000000,	              7,  -1.4941410000,   0.0328915700,  -0.4004207000,   2.3720110000,   1.4941410000,	              7,   1.4941410000,   2.3720110000,  -0.4004207000,   0.0328915700,  -1.4941410000,	              7,  -1.5000000000,   0.0170069300,  -0.4885051000,   2.0111680000,   1.5000000000,	              7,   1.5000000000,   2.0111680000,  -0.4885051000,   0.0170069300,  -1.5000000000,
              8,   0.0000000000,  -0.1849947000,   0.0503590000,  -0.1849947000,   0.0000000000,	              8,  -1.4970700000,  -0.0496833900,  -0.3626513000,   2.1770940000,   1.4970700000,	              8,   1.4970700000,   2.1770940000,  -0.3626513000,  -0.0496833900,  -1.4970700000,	              8,  -1.5000000000,  -0.1322584000,  -0.3248820000,   1.9821770000,   1.5000000000,	              8,   1.5000000000,   1.9821770000,  -0.3248820000,  -0.1322584000,  -1.5000000000,
