,              0,             10,             20,             30,             40,             50,             60,             70,             80,             90,            100,            110,            120,            130,            140,            150,            160,            170,            180,            190,            200,            210,            220,            230,            240,            250,            260,            270,            280,            290,            300,            310,            320,            330,            340,            350,            360,            370,            380,            390,            400,            410,            420,            430,            440,            450,            460,            470,            480,            490,            500,            510,            520,            530,            540,            550,            560,            570,            580,            590,            600
   0.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000
   0.5000000000,   0.9764528000,   1.7083900000,   1.0288010000,   0.9682264000,   1.0209020000,   1.0575140000,   1.0463520000,   1.0314580000,   1.0246400000,   1.0200960000,   1.0155020000,   1.0116600000,   1.0090340000,   1.0072660000,   1.0059570000,   1.0049360000,   1.0041320000,   1.0034850000,   1.0029510000,   1.0024990000,   1.0021150000,   1.0017860000,   1.0015030000,   1.0012590000,   1.0010470000,   1.0008620000,   1.0007010000,   1.0005590000,   1.0004350000,   1.0003260000,   1.0002300000,   1.0001450000,   1.0000700000,   1.0000040000,   0.9999460000,   0.9998943000,   0.9998485000,   0.9998078000,   0.9997717000,   0.9997397000,   0.9997112000,   0.9996858000,   0.9996632000,   0.9996431000,   0.9996251000,   0.9996091000,   0.9995948000,   0.9995821000,   0.9995709000,   0.9995609000,   0.9995524000,   0.9995452000,   0.9995397000,   0.9995365000,   0.9995366000,   0.9995421000,   0.9995567000,   0.9995870000,   0.9996443000,   0.9997486000,   0.9999320000
   1.0000000000,   0.9522042000,   2.2862050000,   0.9315927000,   0.8475067000,   0.9523487000,   1.0288390000,   1.0195070000,   1.0037020000,   1.0012370000,   1.0009250000,   0.9987631000,   0.9966068000,   0.9956196000,   0.9953994000,   0.9954223000,   0.9955314000,   0.9957089000,   0.9959223000,   0.9961370000,   0.9963393000,   0.9965282000,   0.9967041000,   0.9968664000,   0.9970150000,   0.9971505000,   0.9972734000,   0.9973848000,   0.9974854000,   0.9975763000,   0.9976584000,   0.9977324000,   0.9977991000,   0.9978594000,   0.9979138000,   0.9979628000,   0.9980071000,   0.9980471000,   0.9980833000,   0.9981159000,   0.9981454000,   0.9981721000,   0.9981962000,   0.9982180000,   0.9982378000,   0.9982557000,   0.9982719000,   0.9982867000,   0.9983002000,   0.9983126000,   0.9983242000,   0.9983355000,   0.9983469000,   0.9983594000,   0.9983746000,   0.9983954000,   0.9984267000,   0.9984772000,   0.9985626000,   0.9987097000,   0.9989650000,   0.9994052000
   1.5000000000,   0.9264592000,   2.6368560000,   0.8158476000,   0.7508919000,   0.8992908000,   1.0038560000,   0.9956789000,   0.9824419000,   0.9867728000,   0.9920916000,   0.9932162000,   0.9930590000,   0.9934856000,   0.9942172000,   0.9947954000,   0.9951987000,   0.9955227000,   0.9957940000,   0.9960078000,   0.9961715000,   0.9962993000,   0.9964011000,   0.9964824000,   0.9965467000,   0.9965972000,   0.9966366000,   0.9966669000,   0.9966897000,   0.9967064000,   0.9967181000,   0.9967259000,   0.9967305000,   0.9967326000,   0.9967327000,   0.9967312000,   0.9967285000,   0.9967249000,   0.9967206000,   0.9967159000,   0.9967108000,   0.9967056000,   0.9967003000,   0.9966951000,   0.9966899000,   0.9966848000,   0.9966800000,   0.9966754000,   0.9966712000,   0.9966676000,   0.9966649000,   0.9966635000,   0.9966643000,   0.9966690000,   0.9966804000,   0.9967036000,   0.9967479000,   0.9968294000,   0.9969770000,   0.9972415000,   0.9977106000,   0.9985306000
   2.0000000000,   0.8984282000,   2.7374560000,   0.7308183000,   0.7153488000,   0.8963466000,   1.0075990000,   0.9891239000,   0.9739819000,   0.9815073000,   0.9894511000,   0.9918544000,   0.9923217000,   0.9930381000,   0.9937585000,   0.9941081000,   0.9941908000,   0.9941835000,   0.9941434000,   0.9940757000,   0.9939908000,   0.9939031000,   0.9938201000,   0.9937436000,   0.9936742000,   0.9936121000,   0.9935571000,   0.9935088000,   0.9934665000,   0.9934297000,   0.9933978000,   0.9933702000,   0.9933464000,   0.9933260000,   0.9933084000,   0.9932934000,   0.9932806000,   0.9932697000,   0.9932605000,   0.9932528000,   0.9932462000,   0.9932408000,   0.9932363000,   0.9932325000,   0.9932295000,   0.9932272000,   0.9932254000,   0.9932242000,   0.9932237000,   0.9932242000,   0.9932260000,   0.9932300000,   0.9932377000,   0.9932518000,   0.9932774000,   0.9933234000,   0.9934057000,   0.9935527000,   0.9938148000,   0.9942812000,   0.9951066000,   0.9965524000
   2.5000000000,   0.8673265000,   2.6080700000,   0.6824922000,   0.7404520000,   0.9417400000,   1.0349040000,   0.9936636000,   0.9715698000,   0.9777575000,   0.9846448000,   0.9862006000,   0.9862473000,   0.9867320000,   0.9872298000,   0.9873706000,   0.9872996000,   0.9871984000,   0.9871090000,   0.9870223000,   0.9869391000,   0.9868661000,   0.9868048000,   0.9867537000,   0.9867109000,   0.9866755000,   0.9866465000,   0.9866232000,   0.9866044000,   0.9865895000,   0.9865779000,   0.9865688000,   0.9865619000,   0.9865567000,   0.9865529000,   0.9865502000,   0.9865483000,   0.9865472000,   0.9865466000,   0.9865465000,   0.9865466000,   0.9865470000,   0.9865476000,   0.9865483000,   0.9865492000,   0.9865502000,   0.9865514000,   0.9865530000,   0.9865551000,   0.9865582000,   0.9865631000,   0.9865713000,   0.9865854000,   0.9866101000,   0.9866538000,   0.9867315000,   0.9868701000,   0.9871175000,   0.9875588000,   0.9883447000,   0.9897389000,   0.9921921000
   3.0000000000,   0.8323821000,   2.2926950000,   0.6541850000,   0.8053597000,   1.0091510000,   1.0626010000,   0.9949353000,   0.9662949000,   0.9693612000,   0.9730412000,   0.9725177000,   0.9716065000,   0.9716279000,   0.9718585000,   0.9718912000,   0.9718459000,   0.9718488000,   0.9718968000,   0.9719570000,   0.9720180000,   0.9720787000,   0.9721368000,   0.9721896000,   0.9722361000,   0.9722765000,   0.9723116000,   0.9723419000,   0.9723678000,   0.9723900000,   0.9724089000,   0.9724248000,   0.9724383000,   0.9724496000,   0.9724590000,   0.9724668000,   0.9724732000,   0.9724784000,   0.9724827000,   0.9724861000,   0.9724888000,   0.9724910000,   0.9724927000,   0.9724940000,   0.9724951000,   0.9724960000,   0.9724970000,   0.9724984000,   0.9725006000,   0.9725043000,   0.9725110000,   0.9725230000,   0.9725446000,   0.9725835000,   0.9726534000,   0.9727787000,   0.9730033000,   0.9734053000,   0.9741239000,   0.9754063000,   0.9776871000,   0.9817193000
   3.5000000000,   0.7928541000,   1.8534690000,   0.6176055000,   0.8659503000,   1.0470550000,   1.0521220000,   0.9698104000,   0.9429706000,   0.9454065000,   0.9463185000,   0.9438789000,   0.9420424000,   0.9414663000,   0.9412285000,   0.9409573000,   0.9407510000,   0.9406704000,   0.9406698000,   0.9407003000,   0.9407432000,   0.9407919000,   0.9408410000,   0.9408864000,   0.9409266000,   0.9409618000,   0.9409924000,   0.9410189000,   0.9410417000,   0.9410614000,   0.9410784000,   0.9410930000,   0.9411056000,   0.9411165000,   0.9411259000,   0.9411340000,   0.9411410000,   0.9411471000,   0.9411524000,   0.9411571000,   0.9411611000,   0.9411647000,   0.9411679000,   0.9411708000,   0.9411735000,   0.9411762000,   0.9411791000,   0.9411826000,   0.9411874000,   0.9411946000,   0.9412064000,   0.9412264000,   0.9412615000,   0.9413233000,   0.9414333000,   0.9416297000,   0.9419805000,   0.9426078000,   0.9437291000,   0.9457320000,   0.9493026000,   0.9556433000
   4.0000000000,   0.7480657000,   1.3669360000,   0.5444181000,   0.8584601000,   0.9901891000,   0.9570414000,   0.8834856000,   0.8706560000,   0.8774847000,   0.8783915000,   0.8758938000,   0.8742369000,   0.8736161000,   0.8731619000,   0.8726785000,   0.8722973000,   0.8720491000,   0.8718777000,   0.8717424000,   0.8716314000,   0.8715402000,   0.8714636000,   0.8713975000,   0.8713399000,   0.8712897000,   0.8712462000,   0.8712084000,   0.8711755000,   0.8711470000,   0.8711223000,   0.8711010000,   0.8710825000,   0.8710666000,   0.8710529000,   0.8710411000,   0.8710310000,   0.8710223000,   0.8710149000,   0.8710086000,   0.8710032000,   0.8709987000,   0.8709950000,   0.8709920000,   0.8709897000,   0.8709881000,   0.8709877000,   0.8709887000,   0.8709921000,   0.8709994000,   0.8710137000,   0.8710403000,   0.8710885000,   0.8711756000,   0.8713320000,   0.8716124000,   0.8721148000,   0.8730145000,   0.8746252000,   0.8775073000,   0.8826606000,   0.8918601000
   4.5000000000,   0.6974526000,   0.9116610000,   0.4255729000,   0.7375096000,   0.8051456000,   0.7540271000,   0.7062280000,   0.7117327000,   0.7245154000,   0.7275598000,   0.7270105000,   0.7269608000,   0.7273176000,   0.7274554000,   0.7274094000,   0.7273636000,   0.7273506000,   0.7273362000,   0.7273085000,   0.7272744000,   0.7272398000,   0.7272060000,   0.7271736000,   0.7271434000,   0.7271160000,   0.7270914000,   0.7270694000,   0.7270497000,   0.7270322000,   0.7270166000,   0.7270027000,   0.7269903000,   0.7269793000,   0.7269694000,   0.7269606000,   0.7269527000,   0.7269457000,   0.7269394000,   0.7269337000,   0.7269287000,   0.7269243000,   0.7269203000,   0.7269170000,   0.7269142000,   0.7269122000,   0.7269113000,   0.7269121000,   0.7269158000,   0.7269242000,   0.7269411000,   0.7269729000,   0.7270313000,   0.7271372000,   0.7273280000,   0.7276708000,   0.7282858000,   0.7293883000,   0.7313646000,   0.7349079000,   0.7412648000,   0.7526802000
