,              0,             10,             20,             30,             40,             50,             60,             70,             80,             90,            100,            110,            120,            130,            140,            150,            160,            170,            180,            190,            200,            210,            220,            230,            240,            250,            260,            270,            280,            290,            300,            310,            320,            330,            340,            350,            360,            370,            380,            390,            400,            410,            420,            430,            440,            450,            460,            470,            480,            490,            500,            510,            520,            530,            540,            550,            560,            570,            580,            590,            600
   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000,   0.0000000000
   0.5000000000,   0.0197777300,   0.0006397208,   0.0002264520,   0.0006040343,   0.0006838295,   0.0005575431,   0.0004976038,   0.0005125476,   0.0005291334,   0.0005313812,   0.0005301584,   0.0005304363,   0.0005312348,   0.0005315794,   0.0005316366,   0.0005316894,   0.0005317620,   0.0005318053,   0.0005318151,   0.0005318092,   0.0005317981,   0.0005317841,   0.0005317686,   0.0005317533,   0.0005317393,   0.0005317267,   0.0005317155,   0.0005317056,   0.0005316969,   0.0005316893,   0.0005316825,   0.0005316766,   0.0005316713,   0.0005316667,   0.0005316626,   0.0005316589,   0.0005316557,   0.0005316528,   0.0005316502,   0.0005316478,   0.0005316456,   0.0005316436,   0.0005316416,   0.0005316395,   0.0005316371,   0.0005316340,   0.0005316294,   0.0005316221,   0.0005316100,   0.0005315890,   0.0005315522,   0.0005314870,   0.0005313707,   0.0005311630,   0.0005307918,   0.0005301281,   0.0005289421,   0.0005268247,   0.0005230533,   0.0005163638,   0.0005045888
   1.0000000000,   0.0640159100,   0.0017479830,   0.0006280476,   0.0017446000,   0.0019913420,   0.0016164590,   0.0014435080,   0.0014934800,   0.0015467830,   0.0015559200,   0.0015540930,   0.0015564700,   0.0015601410,   0.0015622240,   0.0015632890,   0.0015642280,   0.0015651300,   0.0015658580,   0.0015664120,   0.0015668550,   0.0015672270,   0.0015675420,   0.0015678100,   0.0015680420,   0.0015682460,   0.0015684260,   0.0015685860,   0.0015687280,   0.0015688540,   0.0015689660,   0.0015690660,   0.0015691560,   0.0015692350,   0.0015693070,   0.0015693700,   0.0015694270,   0.0015694780,   0.0015695240,   0.0015695640,   0.0015696010,   0.0015696330,   0.0015696620,   0.0015696880,   0.0015697090,   0.0015697270,   0.0015697400,   0.0015697470,   0.0015697430,   0.0015697230,   0.0015696740,   0.0015695760,   0.0015693900,   0.0015690480,   0.0015684280,   0.0015673110,   0.0015653060,   0.0015617150,   0.0015553000,   0.0015438700,   0.0015235990,   0.0014879410
   1.5000000000,   0.1254328000,   0.0035976720,   0.0013582090,   0.0038135850,   0.0043030130,   0.0034707900,   0.0031082990,   0.0032305730,   0.0033536710,   0.0033761250,   0.0033730130,   0.0033782260,   0.0033856710,   0.0033894000,   0.0033908960,   0.0033921780,   0.0033934390,   0.0033943700,   0.0033949670,   0.0033953680,   0.0033956560,   0.0033958600,   0.0033960000,   0.0033960990,   0.0033961700,   0.0033962210,   0.0033962570,   0.0033962810,   0.0033962960,   0.0033963030,   0.0033963050,   0.0033963020,   0.0033962950,   0.0033962860,   0.0033962750,   0.0033962630,   0.0033962490,   0.0033962350,   0.0033962210,   0.0033962060,   0.0033961910,   0.0033961750,   0.0033961590,   0.0033961420,   0.0033961210,   0.0033960960,   0.0033960600,   0.0033960060,   0.0033959190,   0.0033957720,   0.0033955180,   0.0033950700,   0.0033942760,   0.0033928610,   0.0033903360,   0.0033858260,   0.0033777690,   0.0033633930,   0.0033378040,   0.0032924590,   0.0032127750
   2.0000000000,   0.1978054000,   0.0071760640,   0.0029003990,   0.0079514470,   0.0086389920,   0.0068830290,   0.0061842830,   0.0064509430,   0.0067036440,   0.0067491830,   0.0067424940,   0.0067511960,   0.0067634620,   0.0067683330,   0.0067692170,   0.0067701110,   0.0067712720,   0.0067720170,   0.0067722880,   0.0067723280,   0.0067722720,   0.0067721580,   0.0067720130,   0.0067718670,   0.0067717340,   0.0067716200,   0.0067715240,   0.0067714440,   0.0067713790,   0.0067713270,   0.0067712850,   0.0067712530,   0.0067712280,   0.0067712100,   0.0067711970,   0.0067711880,   0.0067711830,   0.0067711800,   0.0067711800,   0.0067711810,   0.0067711830,   0.0067711850,   0.0067711850,   0.0067711830,   0.0067711740,   0.0067711530,   0.0067711100,   0.0067710280,   0.0067708760,   0.0067705970,   0.0067700930,   0.0067691850,   0.0067675550,   0.0067646300,   0.0067593920,   0.0067500170,   0.0067332560,   0.0067033390,   0.0066500890,   0.0065557690,   0.0063901790
   2.5000000000,   0.2759467000,   0.0148072200,   0.0064573980,   0.0167917600,   0.0172239400,   0.0135320800,   0.0122168600,   0.0127809200,   0.0132834900,   0.0133745100,   0.0133656900,   0.0133854600,   0.0134102500,   0.0134204100,   0.0134232600,   0.0134263700,   0.0134299500,   0.0134325900,   0.0134341800,   0.0134351800,   0.0134358800,   0.0134363700,   0.0134367100,   0.0134369600,   0.0134371900,   0.0134373900,   0.0134375800,   0.0134377500,   0.0134379100,   0.0134380600,   0.0134382000,   0.0134383300,   0.0134384500,   0.0134385600,   0.0134386500,   0.0134387400,   0.0134388200,   0.0134389000,   0.0134389600,   0.0134390200,   0.0134390700,   0.0134391100,   0.0134391400,   0.0134391600,   0.0134391600,   0.0134391300,   0.0134390600,   0.0134388900,   0.0134385800,   0.0134380000,   0.0134369500,   0.0134350600,   0.0134316500,   0.0134255500,   0.0134146100,   0.0133950500,   0.0133600700,   0.0132976500,   0.0131865800,   0.0129899700,   0.0126451400
   3.0000000000,   0.3557017000,   0.0317444800,   0.0149757100,   0.0362441300,   0.0350211400,   0.0273587200,   0.0249100800,   0.0261157800,   0.0271210300,   0.0273049700,   0.0273012400,   0.0273522500,   0.0274091900,   0.0274361600,   0.0274486800,   0.0274610000,   0.0274731500,   0.0274824400,   0.0274888800,   0.0274935400,   0.0274970600,   0.0274997400,   0.0275018100,   0.0275034600,   0.0275048200,   0.0275059700,   0.0275069500,   0.0275077800,   0.0275084900,   0.0275090900,   0.0275096100,   0.0275100500,   0.0275104200,   0.0275107400,   0.0275110000,   0.0275112300,   0.0275114200,   0.0275115800,   0.0275117100,   0.0275118200,   0.0275119100,   0.0275119700,   0.0275120100,   0.0275120200,   0.0275120000,   0.0275119100,   0.0275117100,   0.0275113300,   0.0275106400,   0.0275093700,   0.0275071000,   0.0275030100,   0.0274956900,   0.0274825700,   0.0274591000,   0.0274171200,   0.0273421000,   0.0272082500,   0.0269701500,   0.0265488100,   0.0258103500
   3.5000000000,   0.4339104000,   0.0690985800,   0.0350911500,   0.0785685500,   0.0730196700,   0.0578028600,   0.0533215700,   0.0559411500,   0.0579872200,   0.0583576000,   0.0583651400,   0.0584791900,   0.0585986300,   0.0586564300,   0.0586850600,   0.0587120900,   0.0587372400,   0.0587556200,   0.0587677400,   0.0587760400,   0.0587819900,   0.0587862900,   0.0587894600,   0.0587919100,   0.0587939200,   0.0587956100,   0.0587970600,   0.0587983200,   0.0587994100,   0.0588003600,   0.0588012000,   0.0588019400,   0.0588025900,   0.0588031600,   0.0588036700,   0.0588041100,   0.0588045100,   0.0588048600,   0.0588051600,   0.0588054300,   0.0588056600,   0.0588058500,   0.0588060000,   0.0588060900,   0.0588060900,   0.0588059500,   0.0588055900,   0.0588048200,   0.0588033600,   0.0588006500,   0.0587957200,   0.0587868300,   0.0587708400,   0.0587421700,   0.0586908200,   0.0585989300,   0.0584346700,   0.0581415700,   0.0576201000,   0.0566971600,   0.0550791400
   4.0000000000,   0.5083265000,   0.1473193000,   0.0789602900,   0.1647118000,   0.1530113000,   0.1255157000,   0.1175925000,   0.1231822000,   0.1273994000,   0.1282003000,   0.1282553000,   0.1284995000,   0.1287409000,   0.1288542000,   0.1289059000,   0.1289509000,   0.1289898000,   0.1290145000,   0.1290271000,   0.1290330000,   0.1290352000,   0.1290353000,   0.1290342000,   0.1290326000,   0.1290311000,   0.1290297000,   0.1290284000,   0.1290273000,   0.1290265000,   0.1290257000,   0.1290251000,   0.1290246000,   0.1290242000,   0.1290239000,   0.1290236000,   0.1290234000,   0.1290233000,   0.1290232000,   0.1290231000,   0.1290230000,   0.1290229000,   0.1290229000,   0.1290227000,   0.1290226000,   0.1290222000,   0.1290217000,   0.1290206000,   0.1290188000,   0.1290154000,   0.1290095000,   0.1289987000,   0.1289795000,   0.1289451000,   0.1288835000,   0.1287733000,   0.1285760000,   0.1282234000,   0.1275942000,   0.1264740000,   0.1244897000,   0.1210051000
   4.5000000000,   0.5774987000,   0.2964380000,   0.1611084000,   0.3168256000,   0.3059158000,   0.2636599000,   0.2499843000,   0.2605039000,   0.2688059000,   0.2707036000,   0.2710380000,   0.2716282000,   0.2721850000,   0.2724839000,   0.2726449000,   0.2727750000,   0.2728825000,   0.2729567000,   0.2730032000,   0.2730333000,   0.2730537000,   0.2730678000,   0.2730777000,   0.2730852000,   0.2730911000,   0.2730961000,   0.2731002000,   0.2731037000,   0.2731067000,   0.2731093000,   0.2731115000,   0.2731134000,   0.2731150000,   0.2731163000,   0.2731174000,   0.2731184000,   0.2731191000,   0.2731198000,   0.2731203000,   0.2731206000,   0.2731209000,   0.2731210000,   0.2731210000,   0.2731208000,   0.2731203000,   0.2731192000,   0.2731172000,   0.2731136000,   0.2731071000,   0.2730956000,   0.2730748000,   0.2730378000,   0.2729715000,   0.2728529000,   0.2726407000,   0.2722611000,   0.2715823000,   0.2703703000,   0.2682104000,   0.2643767000,   0.2576206000
