,              0,             10,             20,             30,             40,             50,             60,             70,             80,             90,            100,            110,            120,            130,            140,            150,            160,            170,            180,            190,            200,            210,            220,            230,            240,            250,            260,            270,            280,            290,            300,            310,            320,            330,            340,            350,            360,            370,            380,            390,            400,            410,            420,            430,            440,            450,            460,            470,            480,            490,            500,            510,            520,            530,            540,            550,            560,            570,            580,            590,            600
   0.0000000000,  -0.1000000000,  -0.6861894000,  -0.8905810000,  -0.9618480000,  -0.9866972000,  -0.9953616000,  -0.9983827000,  -0.9994361000,  -0.9998034000,  -0.9999314000,  -0.9999761000,  -0.9999917000,  -0.9999971000,  -0.9999990000,  -0.9999996000,  -0.9999999000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000
   0.5000000000,  -0.0960444500,  -0.5612360000,  -0.4128927000,  -0.3227945000,  -0.3053083000,  -0.2833515000,  -0.2403623000,  -0.1958158000,  -0.1595382000,  -0.1306666000,  -0.1074314000,  -0.0890846400,  -0.0748567600,  -0.0637379500,  -0.0548419100,  -0.0475623000,  -0.0415012300,  -0.0363818800,  -0.0320069500,  -0.0282361600,  -0.0249669000,  -0.0221200800,  -0.0196323200,  -0.0174519400,  -0.0155362800,  -0.0138497200,  -0.0123622100,  -0.0110482600,  -0.0098860530,  -0.0088568220,  -0.0079443580,  -0.0071345920,  -0.0064152820,  -0.0057757440,  -0.0052066400,  -0.0046997910,  -0.0042480270,  -0.0038450490,  -0.0034853200,  -0.0031639670,  -0.0028766940,  -0.0026197100,  -0.0023896710,  -0.0021836150,  -0.0019989250,  -0.0018332760,  -0.0016846060,  -0.0015510720,  -0.0014310230,  -0.0013229620,  -0.0012255000,  -0.0011373030,  -0.0010570050,  -0.0009830706,  -0.0009135622,  -0.0008457369,  -0.0007753367,  -0.0006953429,  -0.0005938017,  -0.0004500932,  -0.0002287798
   1.0000000000,  -0.0871968200,  -0.4500803000,  -0.0483437400,   0.0880340000,   0.0491860600,   0.0096620830,   0.0116812000,   0.0249434900,   0.0333650500,   0.0382042600,   0.0413176300,   0.0424836200,   0.0416795800,   0.0395778700,   0.0368762400,   0.0339804800,   0.0310923100,   0.0283239000,   0.0257354400,   0.0233486300,   0.0211633000,   0.0191707200,   0.0173592600,   0.0157160400,   0.0142276700,   0.0128809300,   0.0116631100,   0.0105623000,   0.0095673920,   0.0086682100,   0.0078554620,   0.0071207230,   0.0064563760,   0.0058555450,   0.0053120290,   0.0048202440,   0.0043751550,   0.0039722270,   0.0036073750,   0.0032769190,   0.0029775410,   0.0027062520,   0.0024603590,   0.0022374360,   0.0020352980,   0.0018519790,   0.0016857190,   0.0015349480,   0.0013982880,   0.0012745610,   0.0011628240,   0.0010624410,   0.0009732257,   0.0008957021,   0.0008315845,   0.0007846398,   0.0007622299,   0.0007780515,   0.0008569534,   0.0010432570,   0.0014146270
   1.5000000000,  -0.0749134400,  -0.3680705000,   0.1647588000,   0.2889925000,   0.1881293000,   0.0948384500,   0.0616575500,   0.0484316000,   0.0355487800,   0.0250413700,   0.0183472400,   0.0137396300,   0.0098663720,   0.0065370910,   0.0038477790,   0.0017474390,   0.0001148419,  -0.0011451690,  -0.0021019270,  -0.0028162420,  -0.0033409000,  -0.0037172780,  -0.0039765710,  -0.0041429430,  -0.0042356900,  -0.0042703780,  -0.0042596070,  -0.0042136370,  -0.0041408490,  -0.0040480800,  -0.0039408790,  -0.0038237340,  -0.0037002530,  -0.0035733190,  -0.0034452190,  -0.0033177500,  -0.0031923050,  -0.0030699490,  -0.0029514750,  -0.0028374570,  -0.0027282910,  -0.0026242250,  -0.0025253930,  -0.0024318310,  -0.0023434970,  -0.0022602850,  -0.0021820230,  -0.0021084750,  -0.0020393220,  -0.0019741210,  -0.0019122240,  -0.0018526340,  -0.0017937330,  -0.0017327990,  -0.0016651330,  -0.0015825050,  -0.0014703760,  -0.0013029650,  -0.0010345610,  -0.0005844149,   0.0001887807
   2.0000000000,  -0.0604389200,  -0.3184167000,   0.2272637000,   0.3136047000,   0.1816486000,   0.0771221700,   0.0426206300,   0.0269029000,   0.0103026400,  -0.0025461090,  -0.0095505540,  -0.0129418500,  -0.0146599800,  -0.0153352800,  -0.0152169100,  -0.0146070000,  -0.0137699800,  -0.0128581000,  -0.0119479200,  -0.0110834100,  -0.0102899600,  -0.0095780150,  -0.0089482930,  -0.0083967450,  -0.0079173360,  -0.0075032220,  -0.0071473830,  -0.0068430540,  -0.0065839460,  -0.0063643370,  -0.0061790810,  -0.0060235920,  -0.0058938180,  -0.0057861900,  -0.0056975850,  -0.0056252720,  -0.0055668740,  -0.0055203240,  -0.0054838300,  -0.0054558370,  -0.0054350050,  -0.0054201730,  -0.0054103380,  -0.0054046350,  -0.0054023070,  -0.0054026900,  -0.0054051780,  -0.0054091900,  -0.0054141170,  -0.0054192280,  -0.0054235280,  -0.0054254950,  -0.0054226260,  -0.0054106240,  -0.0053819490,  -0.0053232440,  -0.0052107250,  -0.0050019980,  -0.0046215680,  -0.0039354460,  -0.0027075710
   2.5000000000,  -0.0448106600,  -0.2936772000,   0.1626831000,   0.1982378000,   0.0722394600,   0.0003231780,  -0.0037560180,  -0.0017035940,  -0.0090384710,  -0.0167321900,  -0.0207921900,  -0.0225264000,  -0.0232905500,  -0.0234133200,  -0.0230298900,  -0.0223862000,  -0.0216906200,  -0.0210392600,  -0.0204615400,  -0.0199657800,  -0.0195518400,  -0.0192131700,  -0.0189400300,  -0.0187225700,  -0.0185519000,  -0.0184201700,  -0.0183204600,  -0.0182468000,  -0.0181941500,  -0.0181582500,  -0.0181356000,  -0.0181232900,  -0.0181189300,  -0.0181206100,  -0.0181267700,  -0.0181361500,  -0.0181477700,  -0.0181608400,  -0.0181747400,  -0.0181889900,  -0.0182032100,  -0.0182171500,  -0.0182305700,  -0.0182433200,  -0.0182552700,  -0.0182663000,  -0.0182762800,  -0.0182849900,  -0.0182921100,  -0.0182970200,  -0.0182986600,  -0.0182950600,  -0.0182826900,  -0.0182552100,  -0.0182012200,  -0.0181002900,  -0.0179158100,  -0.0175822900,  -0.0169827100,  -0.0159084100,  -0.0139890100
   3.0000000000,  -0.0288596600,  -0.2775042000,   0.0104738000,  -0.0137054200,  -0.1053253000,  -0.1188551000,  -0.0795374700,  -0.0526129800,  -0.0452528100,  -0.0441970900,  -0.0437533200,  -0.0437401300,  -0.0442981600,  -0.0450491200,  -0.0457540400,  -0.0464189500,  -0.0470836900,  -0.0477389700,  -0.0483581400,  -0.0489244900,  -0.0494314700,  -0.0498773800,  -0.0502637100,  -0.0505945800,  -0.0508755400,  -0.0511124700,  -0.0513109500,  -0.0514761100,  -0.0516125900,  -0.0517244700,  -0.0518153800,  -0.0518884700,  -0.0519465000,  -0.0519918700,  -0.0520266400,  -0.0520526000,  -0.0520712600,  -0.0520839300,  -0.0520917200,  -0.0520955600,  -0.0520962300,  -0.0520944000,  -0.0520906100,  -0.0520852900,  -0.0520787900,  -0.0520713300,  -0.0520630200,  -0.0520538100,  -0.0520433800,  -0.0520310000,  -0.0520152200,  -0.0519933400,  -0.0519604500,  -0.0519076800,  -0.0518191100,  -0.0516661800,  -0.0513977000,  -0.0509219600,  -0.0500746100,  -0.0485609200,  -0.0458523500
   3.5000000000,  -0.0132179100,  -0.2458190000,  -0.1727218000,  -0.2617160000,  -0.3093491000,  -0.2725317000,  -0.2077057000,  -0.1682005000,  -0.1505572000,  -0.1410871000,  -0.1349267000,  -0.1312973000,  -0.1295082000,  -0.1287390000,  -0.1285155000,  -0.1286442000,  -0.1290038000,  -0.1294843000,  -0.1300045000,  -0.1305168000,  -0.1309967000,  -0.1314322000,  -0.1318196000,  -0.1321601000,  -0.1324574000,  -0.1327162000,  -0.1329410000,  -0.1331364000,  -0.1333061000,  -0.1334537000,  -0.1335822000,  -0.1336942000,  -0.1337920000,  -0.1338775000,  -0.1339525000,  -0.1340182000,  -0.1340760000,  -0.1341269000,  -0.1341718000,  -0.1342115000,  -0.1342466000,  -0.1342777000,  -0.1343052000,  -0.1343296000,  -0.1343513000,  -0.1343703000,  -0.1343868000,  -0.1344008000,  -0.1344120000,  -0.1344195000,  -0.1344218000,  -0.1344159000,  -0.1343965000,  -0.1343536000,  -0.1342697000,  -0.1341127000,  -0.1338256000,  -0.1333054000,  -0.1323661000,  -0.1306707000,  -0.1276019000
   4.0000000000,   0.0016653040,  -0.1679633000,  -0.3092633000,  -0.4552742000,  -0.4671407000,  -0.4216669000,  -0.3785672000,  -0.3579639000,  -0.3465703000,  -0.3372384000,  -0.3297444000,  -0.3242497000,  -0.3201949000,  -0.3170571000,  -0.3145900000,  -0.3126542000,  -0.3111192000,  -0.3098744000,  -0.3088437000,  -0.3079781000,  -0.3072436000,  -0.3066156000,  -0.3060762000,  -0.3056119000,  -0.3052121000,  -0.3048680000,  -0.3045720000,  -0.3043179000,  -0.3040999000,  -0.3039132000,  -0.3037537000,  -0.3036177000,  -0.3035019000,  -0.3034035000,  -0.3033202000,  -0.3032498000,  -0.3031905000,  -0.3031407000,  -0.3030990000,  -0.3030642000,  -0.3030353000,  -0.3030114000,  -0.3029917000,  -0.3029756000,  -0.3029625000,  -0.3029518000,  -0.3029430000,  -0.3029358000,  -0.3029295000,  -0.3029234000,  -0.3029166000,  -0.3029073000,  -0.3028930000,  -0.3028689000,  -0.3028266000,  -0.3027512000,  -0.3026156000,  -0.3023699000,  -0.3019209000,  -0.3010890000,  -0.2995116000
   4.5000000000,   0.0154997400,  -0.0100822800,  -0.3068000000,  -0.4774522000,  -0.4527230000,  -0.4320090000,  -0.4501136000,  -0.4761316000,  -0.4884491000,  -0.4923050000,  -0.4941558000,  -0.4953818000,  -0.4958740000,  -0.4958508000,  -0.4956274000,  -0.4953305000,  -0.4949785000,  -0.4945888000,  -0.4941897000,  -0.4938024000,  -0.4934373000,  -0.4930989000,  -0.4927893000,  -0.4925081000,  -0.4922540000,  -0.4920246000,  -0.4918177000,  -0.4916312000,  -0.4914628000,  -0.4913107000,  -0.4911732000,  -0.4910489000,  -0.4909363000,  -0.4908343000,  -0.4907417000,  -0.4906577000,  -0.4905814000,  -0.4905119000,  -0.4904488000,  -0.4903913000,  -0.4903389000,  -0.4902912000,  -0.4902478000,  -0.4902082000,  -0.4901723000,  -0.4901398000,  -0.4901107000,  -0.4900853000,  -0.4900641000,  -0.4900482000,  -0.4900402000,  -0.4900445000,  -0.4900691000,  -0.4901287000,  -0.4902496000,  -0.4904786000,  -0.4908991000,  -0.4916579000,  -0.4930105000,  -0.4953892000,  -0.4994894000
