               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,
              0,   0.7500000000,   0.3892741000,  -0.0213584100,  -0.4712821000,  -0.7500000000,
              1,   1.1250000000,   1.3536870000,   0.2328435000,  -0.7347908000,  -1.1250000000,
              2,   1.3125000000,   2.4397280000,   0.3104464000,  -0.8270865000,  -1.3125000000,
              3,   1.4062500000,   3.4254360000,   0.3325187000,  -0.6778162000,  -1.4062500000,
              4,   1.4531250000,   3.6240480000,   0.1747987000,  -0.3536841000,  -1.4531250000,
              5,   1.4765620000,   3.2283860000,  -0.0852289600,  -0.0707686500,  -1.4765620000,
              6,   1.4882810000,   2.7328540000,  -0.3123362000,   0.0487762100,  -1.4882810000,
              7,   1.4941410000,   2.3720110000,  -0.4004207000,   0.0328915700,  -1.4941410000,
              8,   1.4970700000,   2.1770940000,  -0.3626513000,  -0.0496833900,  -1.4970700000,
              9,   1.4985350000,   2.1007050000,  -0.2997755000,  -0.1514938000,  -1.4985350000,
             10,   1.4992680000,   2.1266200000,  -0.2341254000,  -0.2436260000,  -1.4992680000,
             11,   1.4996340000,   2.2260420000,  -0.1787015000,  -0.3078828000,  -1.4996340000,
             12,   1.4998170000,   2.3550560000,  -0.1433695000,  -0.3363377000,  -1.4998170000,
             13,   1.4999080000,   2.4668040000,  -0.1323723000,  -0.3315949000,  -1.4999080000,
             14,   1.4999540000,   2.5298670000,  -0.1429151000,  -0.3051775000,  -1.4999540000,
             15,   1.4999770000,   2.5394630000,  -0.1659168000,  -0.2724101000,  -1.4999770000,
             16,   1.4999890000,   2.5118700000,  -0.1901301000,  -0.2458864000,  -1.4999890000,
             17,   1.4999940000,   2.4697660000,  -0.2072212000,  -0.2316617000,  -1.4999940000,
             18,   1.4999970000,   2.4311010000,  -0.2143436000,  -0.2295944000,  -1.4999970000,
             19,   1.4999990000,   2.4055810000,  -0.2131093000,  -0.2359311000,  -1.4999990000,
             20,   1.4999990000,   2.3956860000,  -0.2070145000,  -0.2458981000,  -1.4999990000,
             21,   1.5000000000,   2.3988840000,  -0.1995366000,  -0.2554099000,  -1.5000000000,
             22,   1.5000000000,   2.4099120000,  -0.1932516000,  -0.2619108000,  -1.5000000000,
             23,   1.5000000000,   2.4229900000,  -0.1895339000,  -0.2645487000,  -1.5000000000,
             24,   1.5000000000,   2.4335970000,  -0.1885966000,  -0.2638622000,  -1.5000000000,
             25,   1.5000000000,   2.4394330000,  -0.1897884000,  -0.2611801000,  -1.5000000000,
             26,   1.5000000000,   2.4404010000,  -0.1920452000,  -0.2579730000,  -1.5000000000,
             27,   1.5000000000,   2.4378970000,  -0.1943383000,  -0.2553658000,  -1.5000000000,
             28,   1.5000000000,   2.4338610000,  -0.1959775000,  -0.2539185000,  -1.5000000000,
             29,   1.5000000000,   2.4300040000,  -0.1967061000,  -0.2536552000,  -1.5000000000,
             30,   1.5000000000,   2.4273880000,  -0.1966261000,  -0.2542448000,  -1.5000000000,
             31,   1.5000000000,   2.4263460000,  -0.1960409000,  -0.2552220000,  -1.5000000000,
             32,   1.5000000000,   2.4266420000,  -0.1952951000,  -0.2561690000,  -1.5000000000,
             33,   1.5000000000,   2.4277320000,  -0.1946609000,  -0.2568203000,  -1.5000000000,
             34,   1.5000000000,   2.4290260000,  -0.1942846000,  -0.2570872000,  -1.5000000000,
             35,   1.5000000000,   2.4300770000,  -0.1941878000,  -0.2570235000,  -1.5000000000,
             36,   1.5000000000,   2.4306600000,  -0.1943032000,  -0.2567611000,  -1.5000000000,
             37,   1.5000000000,   2.4307660000,  -0.1945243000,  -0.2564449000,  -1.5000000000,
             38,   1.5000000000,   2.4305260000,  -0.1947503000,  -0.2561857000,  -1.5000000000,
             39,   1.5000000000,   2.4301310000,  -0.1949134000,  -0.2560398000,  -1.5000000000,
             40,   1.5000000000,   2.4297490000,  -0.1949875000,  -0.2560109000,  -1.5000000000,
             41,   1.5000000000,   2.4294860000,  -0.1949816000,  -0.2560672000,  -1.5000000000,
             42,   1.5000000000,   2.4293790000,  -0.1949248000,  -0.2561632000,  -1.5000000000,
             43,   1.5000000000,   2.4294060000,  -0.1948512000,  -0.2562570000,  -1.5000000000,
             44,   1.5000000000,   2.4295120000,  -0.1947880000,  -0.2563222000,  -1.5000000000,
             45,   1.5000000000,   2.4296400000,  -0.1947502000,  -0.2563494000,  -1.5000000000,
             46,   1.5000000000,   2.4297450000,  -0.1947400000,  -0.2563438000,  -1.5000000000,
             47,   1.5000000000,   2.4298030000,  -0.1947510000,  -0.2563182000,  -1.5000000000,
             48,   1.5000000000,   2.4298150000,  -0.1947727000,  -0.2562870000,  -1.5000000000,
             49,   1.5000000000,   2.4297920000,  -0.1947951000,  -0.2562612000,  -1.5000000000,
             50,   1.5000000000,   2.4297530000,  -0.1948113000,  -0.2562465000,  -1.5000000000,
             51,   1.5000000000,   2.4297150000,  -0.1948189000,  -0.2562434000,  -1.5000000000,
             52,   1.5000000000,   2.4296890000,  -0.1948184000,  -0.2562488000,  -1.5000000000,
             53,   1.5000000000,   2.4296780000,  -0.1948129000,  -0.2562582000,  -1.5000000000,
             54,   1.5000000000,   2.4296800000,  -0.1948057000,  -0.2562675000,  -1.5000000000,
             55,   1.5000000000,   2.4296910000,  -0.1947994000,  -0.2562741000,  -1.5000000000,
             56,   1.5000000000,   2.4297030000,  -0.1947956000,  -0.2562768000,  -1.5000000000,
             57,   1.5000000000,   2.4297140000,  -0.1947945000,  -0.2562763000,  -1.5000000000,
             58,   1.5000000000,   2.4297200000,  -0.1947955000,  -0.2562739000,  -1.5000000000,
             59,   1.5000000000,   2.4297210000,  -0.1947976000,  -0.2562708000,  -1.5000000000,
             60,   1.5000000000,   2.4297190000,  -0.1947998000,  -0.2562682000,  -1.5000000000,
             61,   1.5000000000,   2.4297150000,  -0.1948014000,  -0.2562668000,  -1.5000000000,
             62,   1.5000000000,   2.4297110000,  -0.1948020000,  -0.2562664000,  -1.5000000000,
             63,   1.5000000000,   2.4297090000,  -0.1948019000,  -0.2562670000,  -1.5000000000,
             64,   1.5000000000,   2.4297080000,  -0.1948011000,  -0.2562679000,  -1.5000000000,
             65,   1.5000000000,   2.4297080000,  -0.1948001000,  -0.2562689000,  -1.5000000000,
             66,   1.5000000000,   2.4297090000,  -0.1947991000,  -0.2562696000,  -1.5000000000,
             67,   1.5000000000,   2.4297110000,  -0.1947981000,  -0.2562699000,  -1.5000000000,
             68,   1.5000000000,   2.4297130000,  -0.1947970000,  -0.2562700000,  -1.5000000000,
             69,   1.5000000000,   2.4297150000,  -0.1947957000,  -0.2562699000,  -1.5000000000,
             70,   1.5000000000,   2.4297160000,  -0.1947939000,  -0.2562698000,  -1.5000000000,
             71,   1.5000000000,   2.4297180000,  -0.1947911000,  -0.2562699000,  -1.5000000000,
             72,   1.5000000000,   2.4297210000,  -0.1947868000,  -0.2562702000,  -1.5000000000,
             73,   1.5000000000,   2.4297260000,  -0.1947804000,  -0.2562709000,  -1.5000000000,
             74,   1.5000000000,   2.4297320000,  -0.1947707000,  -0.2562721000,  -1.5000000000,
             75,   1.5000000000,   2.4297430000,  -0.1947563000,  -0.2562737000,  -1.5000000000,
             76,   1.5000000000,   2.4297580000,  -0.1947352000,  -0.2562762000,  -1.5000000000,
             77,   1.5000000000,   2.4297810000,  -0.1947040000,  -0.2562797000,  -1.5000000000,
             78,   1.5000000000,   2.4298150000,  -0.1946581000,  -0.2562848000,  -1.5000000000,
             79,   1.5000000000,   2.4298650000,  -0.1945903000,  -0.2562924000,  -1.5000000000,
             80,   1.5000000000,   2.4299390000,  -0.1944903000,  -0.2563035000,  -1.5000000000,
             81,   1.5000000000,   2.4300480000,  -0.1943426000,  -0.2563199000,  -1.5000000000,
             82,   1.5000000000,   2.4302090000,  -0.1941247000,  -0.2563441000,  -1.5000000000,
             83,   1.5000000000,   2.4304450000,  -0.1938030000,  -0.2563798000,  -1.5000000000,
             84,   1.5000000000,   2.4307950000,  -0.1933280000,  -0.2564325000,  -1.5000000000,
             85,   1.5000000000,   2.4313120000,  -0.1926265000,  -0.2565103000,  -1.5000000000,
             86,   1.5000000000,   2.4320740000,  -0.1915905000,  -0.2566250000,  -1.5000000000,
             87,   1.5000000000,   2.4331990000,  -0.1900598000,  -0.2567942000,  -1.5000000000,
             88,   1.5000000000,   2.4348600000,  -0.1877969000,  -0.2570433000,  -1.5000000000,
             89,   1.5000000000,   2.4373130000,  -0.1844493000,  -0.2574100000,  -1.5000000000,
             90,   1.5000000000,   2.4409350000,  -0.1794914000,  -0.2579491000,  -1.5000000000,
             91,   1.5000000000,   2.4462860000,  -0.1721364000,  -0.2587401000,  -1.5000000000,
             92,   1.5000000000,   2.4541940000,  -0.1611998000,  -0.2598973000,  -1.5000000000,
             93,   1.5000000000,   2.4658880000,  -0.1448817000,  -0.2615830000,  -1.5000000000,
             94,   1.5000000000,   2.4831930000,  -0.1204146000,  -0.2640224000,  -1.5000000000,
             95,   1.5000000000,   2.5088250000,  -0.0834767800,  -0.2675161000,  -1.5000000000,
             96,   1.5000000000,   2.5468230000,  -0.0271875200,  -0.2724391000,  -1.5000000000,
             97,   1.5000000000,   2.6031610000,   0.0596377200,  -0.2791945000,  -1.5000000000,
             98,   1.5000000000,   2.6865080000,   0.1954792000,  -0.2880572000,  -1.5000000000,
             99,   1.5000000000,   2.8086480000,   0.4107303000,  -0.2987939000,  -1.5000000000,
            100,   1.5000000000,   2.9824480000,   0.7518958000,  -0.3100254000,  -1.5000000000,
