,              0,             10,             20,             30,             40,             50,             60,             70,             80,             90,            100,            110,            120,            130,            140,            150,            160,            170,            180,            190,            200,            210,            220,            230,            240,            250,            260,            270,            280,            290,            300,            310,            320,            330,            340,            350,            360,            370,            380,            390,            400,            410,            420,            430,            440,            450,            460,            470,            480,            490,            500,            510,            520,            530,            540,            550,            560,            570,            580,            590,            600
   0.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000,  -1.0000000000
   0.5000000000,  -0.9604445000,  -0.6021814000,  -0.2682053000,  -0.2854203000,  -0.2956192000,  -0.2531062000,  -0.1981813000,  -0.1587631000,  -0.1302471000,  -0.1071277000,  -0.0885864700,  -0.0743812700,  -0.0634622000,  -0.0547428800,  -0.0475621500,  -0.0415528700,  -0.0364624000,  -0.0321006100,  -0.0283318400,  -0.0250588300,  -0.0222061300,  -0.0197118500,  -0.0175248000,  -0.0156026000,  -0.0139098300,  -0.0124165400,  -0.0110972600,  -0.0099301700,  -0.0088965130,  -0.0079800500,  -0.0071666850,  -0.0064441390,  -0.0058016960,  -0.0052299850,  -0.0047207990,  -0.0042669360,  -0.0038620760,  -0.0035006580,  -0.0031777870,  -0.0028891520,  -0.0026309450,  -0.0023998060,  -0.0021927630,  -0.0020071850,  -0.0018407410,  -0.0016913580,  -0.0015571910,  -0.0014365860,  -0.0013280480,  -0.0012302000,  -0.0011417340,  -0.0010613350,  -0.0009875617,  -0.0009186513,  -0.0008521737,  -0.0007844313,  -0.0007093996,  -0.0006168691,  -0.0004892195,  -0.0002959667,   0.0000149416
   1.0000000000,  -0.8719682000,  -0.2709202000,   0.2417736000,   0.1049408000,  -0.0029913850,  -0.0066512510,   0.0227831100,   0.0353928700,   0.0389922300,   0.0417997700,   0.0434025000,   0.0426729600,   0.0403095700,   0.0373596200,   0.0343249700,   0.0313558000,   0.0285288700,   0.0258994300,   0.0234863200,   0.0212830000,   0.0192761500,   0.0174525800,   0.0157990500,   0.0143018500,   0.0129474400,   0.0117229100,   0.0106161800,   0.0096160400,   0.0087121940,   0.0078952690,   0.0071567750,   0.0064890440,   0.0058851590,   0.0053388850,   0.0048446050,   0.0043972600,   0.0039922900,   0.0036255900,   0.0032934590,   0.0029925630,   0.0027198980,   0.0024727580,   0.0022487010,   0.0020455320,   0.0018612720,   0.0016941480,   0.0015425770,   0.0014051600,   0.0012806910,   0.0011681840,   0.0010669270,   0.0009766071,   0.0008975235,   0.0008309938,   0.0007800794,   0.0007508900,   0.0007549060,   0.0008130861,   0.0009630382,   0.0012712390,   0.0018528210
   1.5000000000,  -0.7491344000,  -0.0594373800,   0.5073469000,   0.2613424000,   0.0786873600,   0.0387354000,   0.0459060600,   0.0370903700,   0.0243267900,   0.0172536500,   0.0134750300,   0.0099880550,   0.0065833510,   0.0037943500,   0.0016831240,   0.0000637822,  -0.0011920310,  -0.0021469090,  -0.0028562060,  -0.0033752450,  -0.0037477060,  -0.0040045490,  -0.0041691010,  -0.0042602820,  -0.0042935670,  -0.0042814960,  -0.0042342780,  -0.0041602760,  -0.0040663300,  -0.0039579990,  -0.0038397720,  -0.0037152570,  -0.0035873390,  -0.0034583040,  -0.0033299480,  -0.0032036650,  -0.0030805180,  -0.0029612990,  -0.0028465820,  -0.0027367590,  -0.0026320790,  -0.0025326730,  -0.0024385790,  -0.0023497540,  -0.0022660920,  -0.0021874280,  -0.0021135360,  -0.0020441170,  -0.0019787620,  -0.0019168930,  -0.0018576320,  -0.0017995810,  -0.0017404090,  -0.0016761190,  -0.0015997360,  -0.0014989570,  -0.0013519760,  -0.0011200850,  -0.0007347112,  -0.0000751161,   0.0010684160
   2.0000000000,  -0.6043892000,   0.0172767500,   0.5509892000,   0.2497027000,   0.0524271600,   0.0172936100,   0.0259596400,   0.0123601700,  -0.0039698060,  -0.0115881500,  -0.0139854100,  -0.0151429600,  -0.0157438800,  -0.0155817400,  -0.0148645300,  -0.0139347800,  -0.0129708100,  -0.0120298300,  -0.0111421600,  -0.0103315300,  -0.0096081680,  -0.0089709160,  -0.0084139950,  -0.0079305440,  -0.0075133570,  -0.0071551550,  -0.0068489650,  -0.0065883670,  -0.0063675550,  -0.0061813260,  -0.0060250480,  -0.0058946330,  -0.0057864870,  -0.0056974640,  -0.0056248180,  -0.0055661560,  -0.0055194010,  -0.0054827500,  -0.0054546430,  -0.0054337300,  -0.0054188470,  -0.0054089860,  -0.0054032810,  -0.0054009740,  -0.0054014040,  -0.0054039740,  -0.0054081210,  -0.0054132670,  -0.0054187470,  -0.0054236740,  -0.0054267310,  -0.0054257750,  -0.0054171570,  -0.0053945010,  -0.0053465240,  -0.0052531480,  -0.0050785750,  -0.0047589840,  -0.0041808480,  -0.0031432260,  -0.0012940930
   2.5000000000,  -0.4481066000,  -0.0228508700,   0.4117768000,   0.1148989000,  -0.0359016200,  -0.0276477700,   0.0018158690,  -0.0045836720,  -0.0170685600,  -0.0222060000,  -0.0232075600,  -0.0235868700,  -0.0237056500,  -0.0232887200,  -0.0225404300,  -0.0217632200,  -0.0210748600,  -0.0204807500,  -0.0199742200,  -0.0195532700,  -0.0192111000,  -0.0189364200,  -0.0187181600,  -0.0185470500,  -0.0184151700,  -0.0183155400,  -0.0182420900,  -0.0181897100,  -0.0181541200,  -0.0181317900,  -0.0181197900,  -0.0181157500,  -0.0181177100,  -0.0181241400,  -0.0181337800,  -0.0181456400,  -0.0181589200,  -0.0181730200,  -0.0181874500,  -0.0182018500,  -0.0182159400,  -0.0182295100,  -0.0182424000,  -0.0182544900,  -0.0182656700,  -0.0182758300,  -0.0182847800,  -0.0182922500,  -0.0182977300,  -0.0183003300,  -0.0182983900,  -0.0182889400,  -0.0182666500,  -0.0182219200,  -0.0181375200,  -0.0179826000,  -0.0177019200,  -0.0171966900,  -0.0162905700,  -0.0146696800,  -0.0117786500
   3.0000000000,  -0.2885966000,  -0.1350173000,   0.1402801000,  -0.1011473000,  -0.1640812000,  -0.0973827800,  -0.0436138300,  -0.0382667200,  -0.0427921700,  -0.0437347900,  -0.0434481800,  -0.0439958200,  -0.0449392200,  -0.0457186400,  -0.0463634800,  -0.0470150300,  -0.0476820800,  -0.0483176400,  -0.0488955700,  -0.0494107000,  -0.0498630300,  -0.0502541300,  -0.0505881900,  -0.0508712800,  -0.0511097100,  -0.0513093300,  -0.0514753600,  -0.0516124900,  -0.0517248800,  -0.0518161700,  -0.0518895400,  -0.0519477700,  -0.0519932700,  -0.0520281300,  -0.0520541200,  -0.0520728000,  -0.0520854500,  -0.0520932100,  -0.0520970000,  -0.0520976200,  -0.0520957300,  -0.0520918900,  -0.0520865200,  -0.0520799800,  -0.0520725200,  -0.0520642700,  -0.0520552000,  -0.0520451000,  -0.0520333500,  -0.0520187600,  -0.0519990600,  -0.0519701300,  -0.0519244900,  -0.0518487400,  -0.0517187900,  -0.0514915200,  -0.0510896500,  -0.0503747000,  -0.0490984300,  -0.0468156700,  -0.0427279700
   3.5000000000,  -0.1321791000,  -0.2505399000,  -0.1932619000,  -0.3427328000,  -0.3160043000,  -0.2156799000,  -0.1566881000,  -0.1440465000,  -0.1393690000,  -0.1341428000,  -0.1304714000,  -0.1289088000,  -0.1284142000,  -0.1283109000,  -0.1284764000,  -0.1288709000,  -0.1293913000,  -0.1299423000,  -0.1304745000,  -0.1309673000,  -0.1314117000,  -0.1318048000,  -0.1321488000,  -0.1324484000,  -0.1327087000,  -0.1329347000,  -0.1331308000,  -0.1333013000,  -0.1334494000,  -0.1335784000,  -0.1336908000,  -0.1337890000,  -0.1338748000,  -0.1339500000,  -0.1340160000,  -0.1340740000,  -0.1341251000,  -0.1341702000,  -0.1342100000,  -0.1342452000,  -0.1342765000,  -0.1343041000,  -0.1343287000,  -0.1343504000,  -0.1343696000,  -0.1343864000,  -0.1344007000,  -0.1344124000,  -0.1344207000,  -0.1344245000,  -0.1344211000,  -0.1344062000,  -0.1343714000,  -0.1343018000,  -0.1341706000,  -0.1339297000,  -0.1334925000,  -0.1327031000,  -0.1312793000,  -0.1287077000,  -0.1240424000
   4.0000000000,   0.0166530400,  -0.2781724000,  -0.4870772000,  -0.5194223000,  -0.4452270000,  -0.3740980000,  -0.3499200000,  -0.3451933000,  -0.3374401000,  -0.3294888000,  -0.3238566000,  -0.3199876000,  -0.3169720000,  -0.3145282000,  -0.3126042000,  -0.3110932000,  -0.3098692000,  -0.3088497000,  -0.3079889000,  -0.3072565000,  -0.3066288000,  -0.3060886000,  -0.3056229000,  -0.3052216000,  -0.3048760000,  -0.3045788000,  -0.3043235000,  -0.3041045000,  -0.3039170000,  -0.3037568000,  -0.3036202000,  -0.3035039000,  -0.3034051000,  -0.3033215000,  -0.3032508000,  -0.3031912000,  -0.3031412000,  -0.3030994000,  -0.3030644000,  -0.3030354000,  -0.3030114000,  -0.3029917000,  -0.3029755000,  -0.3029624000,  -0.3029517000,  -0.3029430000,  -0.3029359000,  -0.3029297000,  -0.3029240000,  -0.3029178000,  -0.3029097000,  -0.3028975000,  -0.3028771000,  -0.3028414000,  -0.3027780000,  -0.3026642000,  -0.3024585000,  -0.3020846000,  -0.3013973000,  -0.3001115000,  -0.2976359000
   4.5000000000,   0.1549974000,  -0.1121306000,  -0.6145821000,  -0.5006973000,  -0.4192950000,  -0.4303978000,  -0.4756642000,  -0.4944881000,  -0.4947064000,  -0.4944458000,  -0.4955740000,  -0.4961896000,  -0.4960531000,  -0.4957140000,  -0.4953901000,  -0.4950400000,  -0.4946424000,  -0.4942302000,  -0.4938331000,  -0.4934619000,  -0.4931191000,  -0.4928059000,  -0.4925222000,  -0.4922663000,  -0.4920356000,  -0.4918276000,  -0.4916401000,  -0.4914709000,  -0.4913181000,  -0.4911800000,  -0.4910550000,  -0.4909419000,  -0.4908394000,  -0.4907464000,  -0.4906620000,  -0.4905853000,  -0.4905156000,  -0.4904521000,  -0.4903943000,  -0.4903417000,  -0.4902938000,  -0.4902501000,  -0.4902103000,  -0.4901741000,  -0.4901413000,  -0.4901119000,  -0.4900860000,  -0.4900640000,  -0.4900469000,  -0.4900367000,  -0.4900371000,  -0.4900550000,  -0.4901026000,  -0.4902022000,  -0.4903932000,  -0.4907464000,  -0.4913867000,  -0.4925333000,  -0.4945632000,  -0.4981023000,  -0.5041135000
