               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,
              0,   1.5000000000,   0.7785482000,  -0.0427168100,  -0.9425641000,  -1.5000000000,
              1,   1.5000000000,   2.3181000000,   0.4870454000,  -0.9982995000,  -1.5000000000,
              2,   1.5000000000,   3.5257690000,   0.3880494000,  -0.9193821000,  -1.5000000000,
              3,   1.5000000000,   4.4111440000,   0.3545910000,  -0.5285458000,  -1.5000000000,
              4,   1.5000000000,   3.8226600000,   0.0170786400,  -0.0295521300,  -1.5000000000,
              5,   1.5000000000,   2.8327240000,  -0.3452566000,   0.2121468000,  -1.5000000000,
              6,   1.5000000000,   2.2373220000,  -0.5394434000,   0.1683211000,  -1.5000000000,
              7,   1.5000000000,   2.0111680000,  -0.4885051000,   0.0170069300,  -1.5000000000,
              8,   1.5000000000,   1.9821770000,  -0.3248820000,  -0.1322584000,  -1.5000000000,
              9,   1.5000000000,   2.0243150000,  -0.2368997000,  -0.2533043000,  -1.5000000000,
             10,   1.5000000000,   2.1525350000,  -0.1684753000,  -0.3357582000,  -1.5000000000,
             11,   1.5000000000,   2.3254640000,  -0.1232776000,  -0.3721396000,  -1.5000000000,
             12,   1.5000000000,   2.4840700000,  -0.1080375000,  -0.3647927000,  -1.5000000000,
             13,   1.5000000000,   2.5785520000,  -0.1213751000,  -0.3268521000,  -1.5000000000,
             14,   1.5000000000,   2.5929310000,  -0.1534578000,  -0.2787601000,  -1.5000000000,
             15,   1.5000000000,   2.5490580000,  -0.1889186000,  -0.2396427000,  -1.5000000000,
             16,   1.5000000000,   2.4842770000,  -0.2143433000,  -0.2193627000,  -1.5000000000,
             17,   1.5000000000,   2.4276630000,  -0.2243122000,  -0.2174370000,  -1.5000000000,
             18,   1.5000000000,   2.3924360000,  -0.2214661000,  -0.2275270000,  -1.5000000000,
             19,   1.5000000000,   2.3800600000,  -0.2118749000,  -0.2422678000,  -1.5000000000,
             20,   1.5000000000,   2.3857920000,  -0.2009197000,  -0.2558651000,  -1.5000000000,
             21,   1.5000000000,   2.4020810000,  -0.1920587000,  -0.2649217000,  -1.5000000000,
             22,   1.5000000000,   2.4209410000,  -0.1869666000,  -0.2684116000,  -1.5000000000,
             23,   1.5000000000,   2.4360680000,  -0.1858162000,  -0.2671867000,  -1.5000000000,
             24,   1.5000000000,   2.4442050000,  -0.1876592000,  -0.2631757000,  -1.5000000000,
             25,   1.5000000000,   2.4452680000,  -0.1909803000,  -0.2584979000,  -1.5000000000,
             26,   1.5000000000,   2.4413690000,  -0.1943019000,  -0.2547658000,  -1.5000000000,
             27,   1.5000000000,   2.4353930000,  -0.1966314000,  -0.2527587000,  -1.5000000000,
             28,   1.5000000000,   2.4298250000,  -0.1976168000,  -0.2524712000,  -1.5000000000,
             29,   1.5000000000,   2.4261470000,  -0.1974347000,  -0.2533919000,  -1.5000000000,
             30,   1.5000000000,   2.4247710000,  -0.1965462000,  -0.2548344000,  -1.5000000000,
             31,   1.5000000000,   2.4253040000,  -0.1954557000,  -0.2561992000,  -1.5000000000,
             32,   1.5000000000,   2.4269380000,  -0.1945493000,  -0.2571161000,  -1.5000000000,
             33,   1.5000000000,   2.4288220000,  -0.1940266000,  -0.2574716000,  -1.5000000000,
             34,   1.5000000000,   2.4303210000,  -0.1939084000,  -0.2573541000,  -1.5000000000,
             35,   1.5000000000,   2.4311280000,  -0.1940910000,  -0.2569598000,  -1.5000000000,
             36,   1.5000000000,   2.4312430000,  -0.1944185000,  -0.2564988000,  -1.5000000000,
             37,   1.5000000000,   2.4308710000,  -0.1947454000,  -0.2561287000,  -1.5000000000,
             38,   1.5000000000,   2.4302870000,  -0.1949763000,  -0.2559266000,  -1.5000000000,
             39,   1.5000000000,   2.4297360000,  -0.1950765000,  -0.2558939000,  -1.5000000000,
             40,   1.5000000000,   2.4293660000,  -0.1950616000,  -0.2559820000,  -1.5000000000,
             41,   1.5000000000,   2.4292240000,  -0.1949756000,  -0.2561236000,  -1.5000000000,
             42,   1.5000000000,   2.4292730000,  -0.1948680000,  -0.2562591000,  -1.5000000000,
             43,   1.5000000000,   2.4294320000,  -0.1947776000,  -0.2563509000,  -1.5000000000,
             44,   1.5000000000,   2.4296190000,  -0.1947249000,  -0.2563873000,  -1.5000000000,
             45,   1.5000000000,   2.4297680000,  -0.1947124000,  -0.2563767000,  -1.5000000000,
             46,   1.5000000000,   2.4298490000,  -0.1947299000,  -0.2563382000,  -1.5000000000,
             47,   1.5000000000,   2.4298620000,  -0.1947620000,  -0.2562927000,  -1.5000000000,
             48,   1.5000000000,   2.4298260000,  -0.1947944000,  -0.2562558000,  -1.5000000000,
             49,   1.5000000000,   2.4297690000,  -0.1948174000,  -0.2562355000,  -1.5000000000,
             50,   1.5000000000,   2.4297140000,  -0.1948276000,  -0.2562319000,  -1.5000000000,
             51,   1.5000000000,   2.4296770000,  -0.1948264000,  -0.2562403000,  -1.5000000000,
             52,   1.5000000000,   2.4296630000,  -0.1948180000,  -0.2562542000,  -1.5000000000,
             53,   1.5000000000,   2.4296670000,  -0.1948074000,  -0.2562677000,  -1.5000000000,
             54,   1.5000000000,   2.4296830000,  -0.1947984000,  -0.2562768000,  -1.5000000000,
             55,   1.5000000000,   2.4297010000,  -0.1947931000,  -0.2562806000,  -1.5000000000,
             56,   1.5000000000,   2.4297160000,  -0.1947918000,  -0.2562796000,  -1.5000000000,
             57,   1.5000000000,   2.4297240000,  -0.1947934000,  -0.2562759000,  -1.5000000000,
             58,   1.5000000000,   2.4297250000,  -0.1947965000,  -0.2562714000,  -1.5000000000,
             59,   1.5000000000,   2.4297220000,  -0.1947997000,  -0.2562677000,  -1.5000000000,
             60,   1.5000000000,   2.4297160000,  -0.1948020000,  -0.2562657000,  -1.5000000000,
             61,   1.5000000000,   2.4297110000,  -0.1948029000,  -0.2562653000,  -1.5000000000,
             62,   1.5000000000,   2.4297080000,  -0.1948027000,  -0.2562661000,  -1.5000000000,
             63,   1.5000000000,   2.4297060000,  -0.1948017000,  -0.2562675000,  -1.5000000000,
             64,   1.5000000000,   2.4297070000,  -0.1948004000,  -0.2562689000,  -1.5000000000,
             65,   1.5000000000,   2.4297090000,  -0.1947991000,  -0.2562698000,  -1.5000000000,
             66,   1.5000000000,   2.4297110000,  -0.1947980000,  -0.2562703000,  -1.5000000000,
             67,   1.5000000000,   2.4297130000,  -0.1947970000,  -0.2562703000,  -1.5000000000,
             68,   1.5000000000,   2.4297150000,  -0.1947960000,  -0.2562700000,  -1.5000000000,
             69,   1.5000000000,   2.4297160000,  -0.1947945000,  -0.2562698000,  -1.5000000000,
             70,   1.5000000000,   2.4297180000,  -0.1947921000,  -0.2562697000,  -1.5000000000,
             71,   1.5000000000,   2.4297200000,  -0.1947883000,  -0.2562700000,  -1.5000000000,
             72,   1.5000000000,   2.4297240000,  -0.1947826000,  -0.2562706000,  -1.5000000000,
             73,   1.5000000000,   2.4297300000,  -0.1947739000,  -0.2562716000,  -1.5000000000,
             74,   1.5000000000,   2.4297390000,  -0.1947610000,  -0.2562732000,  -1.5000000000,
             75,   1.5000000000,   2.4297530000,  -0.1947420000,  -0.2562754000,  -1.5000000000,
             76,   1.5000000000,   2.4297740000,  -0.1947140000,  -0.2562786000,  -1.5000000000,
             77,   1.5000000000,   2.4298040000,  -0.1946729000,  -0.2562832000,  -1.5000000000,
             78,   1.5000000000,   2.4298490000,  -0.1946121000,  -0.2562900000,  -1.5000000000,
             79,   1.5000000000,   2.4299150000,  -0.1945225000,  -0.2562999000,  -1.5000000000,
             80,   1.5000000000,   2.4300130000,  -0.1943902000,  -0.2563146000,  -1.5000000000,
             81,   1.5000000000,   2.4301570000,  -0.1941950000,  -0.2563362000,  -1.5000000000,
             82,   1.5000000000,   2.4303690000,  -0.1939068000,  -0.2563683000,  -1.5000000000,
             83,   1.5000000000,   2.4306820000,  -0.1934813000,  -0.2564155000,  -1.5000000000,
             84,   1.5000000000,   2.4311450000,  -0.1928530000,  -0.2564853000,  -1.5000000000,
             85,   1.5000000000,   2.4318280000,  -0.1919251000,  -0.2565881000,  -1.5000000000,
             86,   1.5000000000,   2.4328360000,  -0.1905545000,  -0.2567398000,  -1.5000000000,
             87,   1.5000000000,   2.4343240000,  -0.1885291000,  -0.2569633000,  -1.5000000000,
             88,   1.5000000000,   2.4365210000,  -0.1855341000,  -0.2572924000,  -1.5000000000,
             89,   1.5000000000,   2.4397650000,  -0.1811017000,  -0.2577767000,  -1.5000000000,
             90,   1.5000000000,   2.4445570000,  -0.1745334000,  -0.2584882000,  -1.5000000000,
             91,   1.5000000000,   2.4516370000,  -0.1647815000,  -0.2595311000,  -1.5000000000,
             92,   1.5000000000,   2.4621020000,  -0.1502632000,  -0.2610545000,  -1.5000000000,
             93,   1.5000000000,   2.4775820000,  -0.1285636000,  -0.2632688000,  -1.5000000000,
             94,   1.5000000000,   2.5004990000,  -0.0959476000,  -0.2664617000,  -1.5000000000,
             95,   1.5000000000,   2.5344570000,  -0.0465389100,  -0.2710098000,  -1.5000000000,
             96,   1.5000000000,   2.5848200000,   0.0291017300,  -0.2773622000,  -1.5000000000,
             97,   1.5000000000,   2.6595000000,   0.1464630000,  -0.2859500000,  -1.5000000000,
             98,   1.5000000000,   2.7698550000,   0.3313207000,  -0.2969198000,  -1.5000000000,
             99,   1.5000000000,   2.9307890000,   0.6259814000,  -0.3095306000,  -1.5000000000,
            100,   1.5000000000,   3.1562480000,   1.0930610000,  -0.3212569000,  -1.5000000000,
