-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 250.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  500 nodes
   Temperature:                                         443.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        301.2391 g/mol
   Mass density:                                          0.9903 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                             1000           steps
   Output computes every:                                   5000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Field andersen fraction:                          0.010000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                  10000000 iterations
   Andersen_after_iter:                                     1000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                        Simpson rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   339.000000000 monomers
   Chain characteristic ratio C_infinity:                 2.2965
   Bond length:                                           7.9640 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   315.000000000 monomers
   Chain characteristic ratio C_infinity:                 1.7883
   Bond length:                                           7.9640 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                            339.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=0
   mxa boundary condition for hi edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for lo edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for hi edge:                 Dirichlet q=0
   Critical lo position of adsorbed segs             0.000000000 Angstrom
   Critical hi position of adsorbed segs             0.000000000 Angstrom
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                             0.041610000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   Side of the solid wall:                             lo and hi
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
   fh_nr:                                                      5
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                              90.7167 Angstrom
   mxa nodes along chain contour:                             68 nodes
   mxb radious of gyration:                              77.1668 Angstrom
   mxb nodes along chain contour:                             64 nodes
   molar density in bulk                               3287.4216 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
                0    0.4422324E+01    0.2080500E-01    0.0000000E+00    0.0000000E+00    0.8769097E-03    0.1029321E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             1000    0.1564105E+01    0.2919794E-02    0.0000000E+00    0.0000000E+00    0.6371337E-03    0.8854015E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             2000    0.1584656E+01    0.3526268E-03    0.0000000E+00    0.0000000E+00    0.7090108E-03    0.8101422E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             3000    0.1587085E+01    0.2414488E-03    0.0000000E+00    0.0000000E+00    0.7224953E-03    0.7943364E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             4000    0.1586569E+01    0.1835227E-03    0.0000000E+00    0.0000000E+00    0.7309390E-03    0.7854827E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5000    0.1589121E+01    0.2176632E-03    0.0000000E+00    0.0000000E+00    0.7309377E-03    0.7863155E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6000    0.1589653E+01    0.2217739E-03    0.0000000E+00    0.0000000E+00    0.7218010E-03    0.7974052E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7000    0.1586823E+01    0.1694663E-03    0.0000000E+00    0.0000000E+00    0.7281576E-03    0.7882092E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8000    0.1585720E+01    0.1357868E-03    0.0000000E+00    0.0000000E+00    0.7156095E-03    0.8014868E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9000    0.1586092E+01    0.1459464E-03    0.0000000E+00    0.0000000E+00    0.7237915E-03    0.7921711E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10000    0.1586659E+01    0.1535481E-03    0.0000000E+00    0.0000000E+00    0.7207948E-03    0.7954778E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11000    0.1586432E+01    0.1563880E-03    0.0000000E+00    0.0000000E+00    0.7196555E-03    0.7968726E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12000    0.1589535E+01    0.2201817E-03    0.0000000E+00    0.0000000E+00    0.7203421E-03    0.7986365E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13000    0.1587360E+01    0.1469583E-03    0.0000000E+00    0.0000000E+00    0.7223676E-03    0.7941160E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            14000    0.1611389E+01    0.6843425E-03    0.0000000E+00    0.0000000E+00    0.7461883E-03    0.7850146E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            15000    0.1586733E+01    0.1450980E-03    0.0000000E+00    0.0000000E+00    0.7213817E-03    0.7949517E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            16000    0.1586653E+01    0.1458093E-03    0.0000000E+00    0.0000000E+00    0.7199080E-03    0.7969182E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            17000    0.1586030E+01    0.1431526E-03    0.0000000E+00    0.0000000E+00    0.7148821E-03    0.8020693E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            18000    0.1586230E+01    0.1489736E-03    0.0000000E+00    0.0000000E+00    0.7107435E-03    0.8063455E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            19000    0.1585784E+01    0.1458862E-03    0.0000000E+00    0.0000000E+00    0.7044533E-03    0.8130760E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            20000    0.1586007E+01    0.1387092E-03    0.0000000E+00    0.0000000E+00    0.7018324E-03    0.8160181E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            21000    0.1585780E+01    0.1426811E-03    0.0000000E+00    0.0000000E+00    0.7013403E-03    0.8166206E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            22000    0.1585614E+01    0.1424438E-03    0.0000000E+00    0.0000000E+00    0.6989117E-03    0.8191078E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            23000    0.1660192E+01    0.2224847E-02    0.0000000E+00    0.0000000E+00    0.7644026E-03    0.7970644E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            24000    0.1584669E+01    0.1377116E-03    0.0000000E+00    0.0000000E+00    0.7000044E-03    0.8184847E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            25000    0.1585784E+01    0.1388286E-03    0.0000000E+00    0.0000000E+00    0.7068171E-03    0.8107651E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            26000    0.1585599E+01    0.1379028E-03    0.0000000E+00    0.0000000E+00    0.7047245E-03    0.8128717E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            27000    0.1585776E+01    0.1353031E-03    0.0000000E+00    0.0000000E+00    0.6998493E-03    0.8178674E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            28000    0.1585626E+01    0.1303578E-03    0.0000000E+00    0.0000000E+00    0.6943551E-03    0.8240119E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            29000    0.1584982E+01    0.1208550E-03    0.0000000E+00    0.0000000E+00    0.6925494E-03    0.8259596E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            30000    0.1585922E+01    0.1446897E-03    0.0000000E+00    0.0000000E+00    0.6893751E-03    0.8304972E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            31000    0.1584449E+01    0.1402251E-03    0.0000000E+00    0.0000000E+00    0.6801814E-03    0.8391679E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            32000    0.1584474E+01    0.1405264E-03    0.0000000E+00    0.0000000E+00    0.6780809E-03    0.8414462E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            33000    0.1582565E+01    0.1497573E-03    0.0000000E+00    0.0000000E+00    0.6891466E-03    0.8285850E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            34000    0.1582596E+01    0.1131015E-03    0.0000000E+00    0.0000000E+00    0.6614935E-03    0.8592643E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            35000    0.1582015E+01    0.1158567E-03    0.0000000E+00    0.0000000E+00    0.6598489E-03    0.8612819E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            36000    0.1581391E+01    0.1104940E-03    0.0000000E+00    0.0000000E+00    0.6537226E-03    0.8678343E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            37000    0.1581181E+01    0.1138620E-03    0.0000000E+00    0.0000000E+00    0.6492220E-03    0.8727369E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            38000    0.1581199E+01    0.1116300E-03    0.0000000E+00    0.0000000E+00    0.6467448E-03    0.8753385E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            39000    0.1580978E+01    0.1089647E-03    0.0000000E+00    0.0000000E+00    0.6425030E-03    0.8800315E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            40000    0.1580662E+01    0.1174939E-03    0.0000000E+00    0.0000000E+00    0.6406156E-03    0.8818681E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            41000    0.1580517E+01    0.1158017E-03    0.0000000E+00    0.0000000E+00    0.6390923E-03    0.8835677E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            42000    0.1580697E+01    0.1083559E-03    0.0000000E+00    0.0000000E+00    0.6389519E-03    0.8836497E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            43000    0.1594161E+01    0.5743436E-03    0.0000000E+00    0.0000000E+00    0.6261381E-03    0.9077223E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            44000    0.1582087E+01    0.1303060E-03    0.0000000E+00    0.0000000E+00    0.6398777E-03    0.8824279E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            45000    0.1582784E+01    0.1441217E-03    0.0000000E+00    0.0000000E+00    0.6399433E-03    0.8841577E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            46000    0.1580576E+01    0.1204003E-03    0.0000000E+00    0.0000000E+00    0.6378165E-03    0.8848941E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            47000    0.1580637E+01    0.1159265E-03    0.0000000E+00    0.0000000E+00    0.6350659E-03    0.8880405E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            48000    0.1580215E+01    0.1207956E-03    0.0000000E+00    0.0000000E+00    0.6332616E-03    0.8896966E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            49000    0.1580342E+01    0.1188991E-03    0.0000000E+00    0.0000000E+00    0.6346067E-03    0.8882710E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            50000    0.1581966E+01    0.1402977E-03    0.0000000E+00    0.0000000E+00    0.6358025E-03    0.8883678E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            51000    0.1579696E+01    0.1151596E-03    0.0000000E+00    0.0000000E+00    0.6316102E-03    0.8915669E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            52000    0.1579676E+01    0.1089742E-03    0.0000000E+00    0.0000000E+00    0.6280321E-03    0.8956078E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            53000    0.1578784E+01    0.1030442E-03    0.0000000E+00    0.0000000E+00    0.6219240E-03    0.9017602E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            54000    0.1580787E+01    0.1936541E-03    0.0000000E+00    0.0000000E+00    0.6137617E-03    0.9120145E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            55000    0.1581748E+01    0.1939729E-03    0.0000000E+00    0.0000000E+00    0.6168003E-03    0.9096360E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            56000    0.1582406E+01    0.1772210E-03    0.0000000E+00    0.0000000E+00    0.6206604E-03    0.9054583E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            57000    0.1587216E+01    0.2554531E-03    0.0000000E+00    0.0000000E+00    0.6342838E-03    0.8935618E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            58000    0.1579040E+01    0.1023576E-03    0.0000000E+00    0.0000000E+00    0.6205416E-03    0.9034640E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            59000    0.1578919E+01    0.1048933E-03    0.0000000E+00    0.0000000E+00    0.6201501E-03    0.9039685E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
